	RP	SYMBOL	Entrez RNA	RNA Type	Species	Protein	Entrez Protein	Protein Type	Species	Confidence
7519871	RP07519872	BRINP1	1620	mRNA	Homo sapiens	DNMT1	1786.0	TF	Homo sapiens	0.7311
7519917	RP07519918	TUNAR	100507043	mRNA	Homo sapiens	SOX2	6657.0	TF	Homo sapiens	0.9933
7519923	RP07519924	SMIM31	100505989	mRNA	Homo sapiens	EZH2	2146.0	TF	Homo sapiens	0.9526
7519963	RP07519964	ELL2	22936	mRNA	Homo sapiens	NPR3	4883.0	protein	Homo sapiens	0.8808
8005987	RP08005988	TARDBP	23435	mRNA	Homo sapiens	ATXN2	6311.0	RBP	Homo sapiens	0.9503
8006787	RP08006788	CCND1	595	mRNA	Homo sapiens	ATXN2	6311.0	RBP	Homo sapiens	0.9418
8009090	RP08009091	ARL6IP1	23204	mRNA	Homo sapiens	ATXN2	6311.0	RBP	Homo sapiens	0.9418
8016132	RP08016133	FAM199X	139231	mRNA	Homo sapiens	ATXN2	6311.0	RBP	Homo sapiens	0.9418
8043132	RP08043133	MCL1	4170	mRNA	Homo sapiens	CELF2	10659.0	RBP	Homo sapiens	0.9418
8049391	RP08049392	PABPC1	26986	mRNA	Homo sapiens	CNBP	7555.0	RBP	Homo sapiens	0.9768
8120986	RP08120987	PPP1CC	5501	mRNA	Homo sapiens	CSTF2	1478.0	RBP	Homo sapiens	0.7155
8122369	RP08122370	CBX4	8535	mRNA	Homo sapiens	CSTF2	1478.0	RBP	Homo sapiens	0.7155
8122444	RP08122445	TGIF1	7050	mRNA	Homo sapiens	CSTF2	1478.0	RBP	Homo sapiens	0.7155
8123147	RP08123148	CSNK1E	1454	mRNA	Homo sapiens	CSTF2	1478.0	RBP	Homo sapiens	0.7155
8124300	RP08124301	PDCD2	5134	mRNA	Homo sapiens	CSTF2	1478.0	RBP	Homo sapiens	0.7155
8125657	RP08125658	CYHR1	50626	mRNA	Homo sapiens	CSTF2	1478.0	RBP	Homo sapiens	0.7155
8128689	RP08128690	PRELID2	153768	mRNA	Homo sapiens	CSTF2	1478.0	RBP	Homo sapiens	0.7155
8131899	RP08131900	CCM2	83605	mRNA	Homo sapiens	CSTF2	1478.0	RBP	Homo sapiens	0.7155
8135579	RP08135580	ECHS1	1892	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8136157	RP08136158	FAM89B	23625	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8136500	RP08136501	RAN	5901	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8137840	RP08137841	CMTM4	146223	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8138497	RP08138498	MBD2	8932	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8138538	RP08138539	RAB12	201475	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8138688	RP08138689	TLE5	166	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
8138970	RP08138971	KHSRP	8570	mRNA	Homo sapiens	CSTF2T	23283.0	RBP	Homo sapiens	0.7155
